ID,Code,Name,ATS,BEDS,Category,Students,FAX,Phone,Principal,PrincipalsPhone
80,Q200,PS/MS 200 - The Pomonok School & STAR Academy,25Q200         ,342500010200,K-8,480,NULL,NULL,NULL,NULL
81,R045,P.S. 045 John Tyler,31R045         ,353100010045,Elementary,1004,NULL,NULL,NULL,NULL
82,X105,P.S. 105 Sen Abraham Bernstein,11X105         ,321100010105,Elementary,1465,NULL,NULL,NULL,NULL
83,X121,P.S. 121 Throop,11X121         ,321100010121,Elementary,895,NULL,NULL,NULL,NULL
84,K189,P.S. 189 The Bilingual Center,17K189         ,331700010189,K-8,1218,NULL,NULL,NULL,NULL
85,K287,P.S. 287 Bailey K. Ashford,13K287         ,331300010287,Elementary,187,NULL,NULL,NULL,NULL
86,M083,P.S. 083 Luis Munoz Rivera,04M083         ,310400010083,Elementary,439,NULL,NULL,NULL,NULL
87,M552,Gregorio Luperon High School for Science and Mathematics,06M552         ,310600011552,High school,486,NULL,NULL,NULL,NULL
88,Q114,P.S. / M.S. 114 Belle Harbor,27Q114         ,342700010114,K-8,808,NULL,NULL,NULL,NULL
89,Q130,P.S. 130,25Q130         ,342500010130,Elementary,307,NULL,NULL,NULL,NULL
90,R600,Ralph R. McKee Career and Technical Education High School,31R600         ,353100011600,High school,753,NULL,NULL,NULL,NULL
91,X018,P.S. 018 John Peter Zenger,07X018         ,320700010018,Elementary,521,NULL,NULL,NULL,NULL
92,K291,J.H.S. 291 Roland Hayes,32K291         ,333200010291,Junior High-Intermediate-Middle,658,NULL,NULL,NULL,NULL
93,K495,Sheepshead Bay High School,22K495         ,332200011495,High school,2272,NULL,NULL,NULL,NULL
94,Q082,P.S. 082 Hammond,28Q082         ,342800010082,Elementary,627,NULL,NULL,NULL,NULL
95,Q138,P.S./ M.S.138 Sunrise,29Q138         ,342900010138,K-8,906,NULL,NULL,NULL,NULL
96,Q555,Newcomers High School,30Q555         ,343000011555,High school,915,NULL,NULL,NULL,NULL
97,X085,P.S. 085 Great Expectations,10X085         ,321000010085,Elementary,1195,NULL,NULL,NULL,NULL
98,K165,P.S. 165 Ida Posner,23K165         ,332300010165,K-8,650,NULL,NULL,NULL,NULL
99,K181,P.S. 181 Brooklyn,17K181         ,331700010181,K-8,1218,NULL,NULL,NULL,NULL
100,K335,P.S. 335 Granville T. Woods,16K335         ,331600010335,Elementary,436,NULL,NULL,NULL,NULL
101,M131,M.S. 131,02M131         ,310200010131,Junior High-Intermediate-Middle,793,NULL,NULL,NULL,NULL
102,Q094,P.S. 094 David D. Porter,26Q094         ,342600010094,Elementary,444,NULL,NULL,NULL,NULL
103,Q208,P.S. / I.S. 208,29Q208         ,342900010208,K-8,733,NULL,NULL,NULL,NULL
104,Q224,P.S. Q224,75Q224         ,307500014224,K-8,430,NULL,NULL,NULL,NULL
105,X010,P.S. X010,75X010         ,307500012010,K-12 all grades,441,NULL,NULL,NULL,NULL
106,X129,M.S. 129 Academy for Independent Learning and Leadership,12X129         ,321200010129,Junior High-Intermediate-Middle,576,NULL,NULL,NULL,NULL
107,X542,Pelham Preparatory Academy,11X542         ,321100011542,High school,506,NULL,NULL,NULL,NULL
108,K185,P.S. 185 Walter Kassenbrock,20K185         ,332000010185,Elementary,832,NULL,NULL,NULL,NULL
109,Q228,P.S. 228 Early Childhood Magnet School of the Arts,30Q228         ,343000010228,Early Childhood,394,NULL,NULL,NULL,NULL
110,X014,P.S. X014 Senator John Calandra,08X014         ,320800010014,Elementary,562,NULL,NULL,NULL,NULL
111,X546,Bronx Theatre High School,10X546         ,321000011546,High school,419,NULL,NULL,NULL,NULL
112,K295,P.S. 295,15K295         ,331500010295,Elementary,399,NULL,NULL,NULL,NULL
113,K499,ACORN Community High School,13K499         ,331300011499,High school,696,NULL,NULL,NULL,NULL
114,M409,Coalition School for Social Change,04M409         ,310400011409,High school,385,NULL,NULL,NULL,NULL
115,Q400,August Martin High School,27Q400         ,342700011400,High school,1222,NULL,NULL,NULL,NULL
116,R041,P.S. 041 New Dorp,31R041         ,353100010041,Elementary,694,NULL,NULL,NULL,NULL
117,X089,P.S. 089 Bronx,11X089         ,321100010089,K-8,1316,NULL,NULL,NULL,NULL
118,X101,M.S. X101 Edward R. Byrne,08X101         ,320800010101,Junior High-Intermediate-Middle,469,NULL,NULL,NULL,NULL
119,X403,Bronx International High School,09X403         ,320900011403,High school,356,NULL,NULL,NULL,NULL
120,K046,P.S. 046 Edward C. Blum,13K046         ,331300010046,Elementary,375,NULL,NULL,NULL,NULL
121,K161,P.S. 161 The Crown,17K161         ,331700010161,K-8,900,NULL,NULL,NULL,NULL
122,K463,Secondary School for Journalism,15K463         ,331500011463,Secondary School,442,NULL,NULL,NULL,NULL
123,K519,Cobble Hill School of American Studies,15K519         ,331500011519,High school,718,NULL,NULL,NULL,NULL
124,M413,School of the Future High School,02M413         ,310200010413,Secondary School,689,NULL,NULL,NULL,NULL
125,M544,Independence High School,02M544         ,310200011544,High school,437,NULL,NULL,NULL,NULL
126,Q204,I.S. 204 Oliver W. Holmes,30Q204         ,343000010204,Junior High-Intermediate-Middle,756,NULL,NULL,NULL,NULL
127,Q220,P.S. 220 Edward Mandel,28Q220         ,342800010220,Elementary,506,NULL,NULL,NULL,NULL
128,R049,I.S. 49 Berta A. Dreyfus,31R049         ,353100010049,Junior High-Intermediate-Middle,886,NULL,NULL,NULL,NULL
129,X109,P.S. 109 Sedgwick,09X109         ,320900010109,Elementary,753,NULL,NULL,NULL,NULL
130,X125,J.H.S. 125 Henry Hudson,08X125         ,320800010125,Junior High-Intermediate-Middle,701,NULL,NULL,NULL,NULL
131,X223,M.S. 223 The Laboratory School of Finance and Technology,07X223         ,320700010223,Junior High-Intermediate-Middle,469,NULL,NULL,NULL,NULL
132,K058,P.S. 058 The Carroll,15K058         ,331500010058,Elementary,707,NULL,NULL,NULL,NULL
133,K303,I.S. 303 Herbert S. Eisenberg,21K303         ,332100010303,Junior High-Intermediate-Middle,746,NULL,NULL,NULL,NULL
134,K605,George Westinghouse Career and Technical Education High School,13K605         ,331300011605,High school,963,NULL,NULL,NULL,NULL
135,M087,P.S. 087 William Sherman,03M087         ,310300010087,Elementary,1004,NULL,NULL,NULL,NULL
136,M401,Hospital Schools,75M401         ,307500011401,K-12 all grades,209,NULL,NULL,NULL,NULL
137,M670,Thurgood Marshall Academy for Learning and Social Change,05M670         ,310500011670,Secondary School,570,NULL,NULL,NULL,NULL
138,Q118,P.S. 118 Lorraine Hansberry,29Q118         ,342900010118,Elementary,679,NULL,NULL,NULL,NULL
139,X081,P.S. 081 Robert J. Christen,10X081         ,321000010081,Elementary,685,NULL,NULL,NULL,NULL
140,X439,Bronx High School for Law and Community Service,10X439         ,321000011439,High school,451,NULL,NULL,NULL,NULL
141,X550,High School of World Cultures,12X550         ,321200011550,High school,318,NULL,NULL,NULL,NULL
142,K302,J.H.S. 302 Rafael Cordero,19K302         ,331900010302,Junior High-Intermediate-Middle,1017,NULL,NULL,NULL,NULL
143,K474,PROGRESS High School for Professional Careers,14K474         ,331400011474,High school,981,NULL,NULL,NULL,NULL
144,K490,Fort Hamilton High School,20K490         ,332000011490,High school,4270,NULL,NULL,NULL,NULL
145,M256,M.S. 256 Academic & Athletic Excellence,03M256         ,310300010256,Junior High-Intermediate-Middle,185,NULL,NULL,NULL,NULL
146,M400,High School for Environmental Studies,02M400         ,310200011400,High school,1418,NULL,NULL,NULL,NULL
147,Q081,P.S. 81Q Jean Paul Richter,24Q081         ,342400010081,Elementary,1136,NULL,NULL,NULL,NULL
148,Q137,M.S. 137 Americas School of Heroes,27Q137         ,342700010137,Junior High-Intermediate-Middle,1923,NULL,NULL,NULL,NULL
149,Q235,Academy for New Americans,30Q235         ,343000010235,Junior High-Intermediate-Middle,163,NULL,NULL,NULL,NULL
150,Q550,High School for Arts and Business,24Q550         ,342400011550,High school,764,NULL,NULL,NULL,NULL
151,X080,J.H.S. 080 The Mosholu Parkway,10X080         ,321000010080,Junior High-Intermediate-Middle,620,NULL,NULL,NULL,NULL
152,X438,Fordham Leadership Academy for Business and Technology,10X438         ,321000011438,High school,495,NULL,NULL,NULL,NULL
153,K160,P.S. 160 William T. Sampson,20K160         ,332000010160,Elementary,846,NULL,NULL,NULL,NULL
154,K462,Secondary School for Law,15K462         ,331500011462,Secondary School,556,NULL,NULL,NULL,NULL
155,M015,P.S. 015 Roberto Clemente,01M015         ,310100010015,Elementary,208,NULL,NULL,NULL,NULL
156,M412,N.Y.C. Lab School for Collaborative Studies,02M412         ,310200010412,High school,520,NULL,NULL,NULL,NULL
157,Q093,I.S. 093 Ridgewood,24Q093         ,342400010093,Junior High-Intermediate-Middle,1309,NULL,NULL,NULL,NULL
158,Q109,Jean Nuzzi Intermediate School,29Q109         ,342900010109,Junior High-Intermediate-Middle,1143,NULL,NULL,NULL,NULL
159,Q207,P.S. 207 Rockwood Park,27Q207         ,342700010207,K-8,772,NULL,NULL,NULL,NULL
160,Q223,P.S. 223 Lyndon B. Johnson,27Q223         ,342700010223,Elementary,673,NULL,NULL,NULL,NULL
161,X108,P.S. 108 Philip J. Abinanti,11X108         ,321100010108,Elementary,599,NULL,NULL,NULL,NULL
162,X541,Global Enterprise High School,11X541         ,321100011541,High school,467,NULL,NULL,NULL,NULL
163,K053,P.S. K053,75K053         ,307500013053,K-12 all grades,372,NULL,NULL,NULL,NULL
164,K184,P.S. 184 Newport,23K184         ,332300010184,K-8,523,NULL,NULL,NULL,NULL
165,K282,P.S. 282 Park Slope,13K282         ,331300010282,K-8,889,NULL,NULL,NULL,NULL
166,M134,P.S. 134 Henrietta Szold,01M134         ,310100010134,Elementary,376,NULL,NULL,NULL,NULL
167,Q415,Benjamin N. Cardozo High School,26Q415         ,342600011415,High school,4018,NULL,NULL,NULL,NULL
168,X017,P.S. X017,75X017         ,307500012017,K-8,366,NULL,NULL,NULL,NULL
169,X549,Discovery High School,10X549         ,321000011549,High school,451,NULL,NULL,NULL,NULL
170,K041,P.S. 041 Francis White,23K041         ,332300010041,K-8,695,NULL,NULL,NULL,NULL
171,K196,P.S. 196 Ten Eyck,14K196         ,331400010196,Elementary,413,NULL,NULL,NULL,NULL
172,K498,Brooklyn High School for Law and Technology,16K498         ,331600011498,High school,421,NULL,NULL,NULL,NULL
173,M408,Professional Performing Arts High School,02M408         ,310200011408,Secondary School,467,NULL,NULL,NULL,NULL
174,Q089,P.S. 089 Elmhurst,24Q089         ,342400010089,Elementary,1719,NULL,NULL,NULL,NULL
175,Q101,P.S. 101 School in the Gardens,28Q101         ,342800010101,Elementary,647,NULL,NULL,NULL,NULL
176,X088,P.S. X088 - S. Silverstein Little Sparrow School,09X088         ,320900010088,Elementary,292,NULL,NULL,NULL,NULL
177,X100,P.S. 100 Isaac Clason,08X100         ,320800010100,Elementary,699,NULL,NULL,NULL,NULL
178,K045,P.S./I.S. 045 Horace E. Greene,32K045         ,333200010045,Elementary,763,NULL,NULL,NULL,NULL
179,K298,P.S. 298 Dr. Betty Shabazz,23K298         ,332300010298,K-8,566,NULL,NULL,NULL,NULL
180,M011,P.S. 011 William T. Harris,02M011         ,310200010011,Elementary,571,NULL,NULL,NULL,NULL
181,M126,P.S. 126 Jacob August Riis,02M126         ,310200010126,K-8,786,NULL,NULL,NULL,NULL
182,M224,M.S. 224 Manhattan East School for Arts & Academics,04M224         ,310400010224,Junior High-Intermediate-Middle,259,NULL,NULL,NULL,NULL
183,M543,New Design High School,02M543         ,310200011543,High school,412,NULL,NULL,NULL,NULL
184,Q105,P.S. 105 The Bay School,27Q105         ,342700010105,K-8,952,NULL,NULL,NULL,NULL
185,Q203,P.S. 203 Oakland Gardens,26Q203         ,342600010203,Elementary,797,NULL,NULL,NULL,NULL
186,R044,P.S. 044 Thomas C. Brown,31R044         ,353100010044,Elementary,879,NULL,NULL,NULL,NULL
187,K057,J.H.S. 057 Whitelaw Reid,16K057         ,331600010057,Junior High-Intermediate-Middle,239,NULL,NULL,NULL,NULL
188,K600,Clara Barton High School,17K600         ,331700011600,High school,1980,NULL,NULL,NULL,NULL
189,M138,P.S. 138,75M138         ,307500011138,K-12 all grades,426,NULL,NULL,NULL,NULL
190,M555,Central Park East High School,04M555         ,310400011555,High school,332,NULL,NULL,NULL,NULL
191,Q117,P.S. 117 J. Keld / Briarwood School,28Q117         ,342800010117,Elementary,1176,NULL,NULL,NULL,NULL
193,X132,P.S. 132 Garret A. Morgan,09X132         ,320900010132,Elementary,558,NULL,NULL,NULL,NULL
194,X230,P.S. 230 Dr Roland N. Patterson,09X230         ,320900010230,Elementary,410,NULL,NULL,NULL,NULL
195,X434,Belmont Preparatory High School,10X434         ,321000011434,High school,413,NULL,NULL,NULL,NULL
196,K192,P.S. 192 - The Magnet School for Math and Science Inquiry,20K192         ,332000010192,K-8,599,NULL,NULL,NULL,NULL
197,K290,P.S. 290 Juan Morel Campos,19K290         ,331900010290,Elementary,592,NULL,NULL,NULL,NULL
198,K306,P.S. 306 Ethan Allen,19K306         ,331900010306,K-8,706,NULL,NULL,NULL,NULL
199,K478,The High School for Enterprise Business and Technology,14K478         ,331400011478,High school,885,NULL,NULL,NULL,NULL
200,M102,P.S. 102 Jacques Cartier,04M102         ,310400010102,Elementary,316,NULL,NULL,NULL,NULL
201,Q085,P.S. 085 Judge Charles Vallone,30Q085         ,343000010085,Elementary,513,NULL,NULL,NULL,NULL
202,Q239,P.S. 239,24Q239         ,342400010239,Elementary,790,NULL,NULL,NULL,NULL
203,K164,P.S. 164 Caesar Rodney,20K164         ,332000010164,Elementary,464,NULL,NULL,NULL,NULL
204,K180,The SEEALL Academy,20K180         ,332000010180,K-8,1221,NULL,NULL,NULL,NULL
205,K318,I.S. 318 Eugenio Maria De Hostos,14K318         ,331400010318,Junior High-Intermediate-Middle,1613,NULL,NULL,NULL,NULL
206,M019,P.S. 019 Asher Levy,01M019         ,310100010019,Elementary,321,NULL,NULL,NULL,NULL
207,M130,P.S. 130 Hernando De Soto,02M130         ,310200010130,Elementary,1029,NULL,NULL,NULL,NULL
208,M416,Eleanor Roosevelt High School,02M416         ,310200010416,High school,498,NULL,NULL,NULL,NULL
209,Q097,P.S. 097 Forest Park,27Q097         ,342700010097,Elementary,754,NULL,NULL,NULL,NULL
210,Q227,I.S. 227 Louis Armstrong,30Q227         ,343000011227,Junior High-Intermediate-Middle,1483,NULL,NULL,NULL,NULL
211,X226,P.S. 226,10X226         ,321000010226,Elementary,404,NULL,NULL,NULL,NULL
212,X545,Bronx Aerospace High School,11X545         ,321100011545,High school,403,NULL,NULL,NULL,NULL
213,K051,M.S. 51 William Alexander,15K051         ,331500010051,Junior High-Intermediate-Middle,1071,NULL,NULL,NULL,NULL
214,K166,J.H.S. 166 George Gershwin,19K166         ,331900010166,Junior High-Intermediate-Middle,559,NULL,NULL,NULL,NULL
215,K753,P.S. K753 - School for Career Development,75K753         ,307500013753,High school,336,NULL,NULL,NULL,NULL
216,M132,P.S. 132 Juan Pablo Duarte,06M132         ,310600010132,Elementary,781,NULL,NULL,NULL,NULL
217,M418,Millennium High School,02M418         ,310200010418,High school,619,NULL,NULL,NULL,NULL
218,Q111,P.S. 111 Jacob Blackwell,30Q111         ,343000010111,K-8,440,NULL,NULL,NULL,NULL
219,Q229,P.S. 229 Emanuel Kaplan,24Q229         ,342400010229,Elementary,1339,NULL,NULL,NULL,NULL
220,X015,P.S. X015 Institute for Environmental Learning,10X015         ,321000010015,K-8,577,NULL,NULL,NULL,NULL
221,X547,New Explorers High School,07X547         ,320700011547,High school,310,NULL,NULL,NULL,NULL
222,K292,J.H.S. 292 Margaret S. Douglas,19K292         ,331900010292,Junior High-Intermediate-Middle,668,NULL,NULL,NULL,NULL
223,K308,P.S. 308 Clara Cardwell,16K308         ,331600010308,K-8,719,NULL,NULL,NULL,NULL
224,M104,J.H.S. 104 Simon Baruch,02M104         ,310200010104,Junior High-Intermediate-Middle,997,NULL,NULL,NULL,NULL
225,Q087,P.S. / I.S. 087 Middle Village,24Q087         ,342400010087,K-8,570,NULL,NULL,NULL,NULL
226,X086,P.S. 086 Kingsbridge Heights,10X086         ,321000010086,Elementary,1767,NULL,NULL,NULL,NULL
227,M013,J.H.S. 013 Jackie Robinson,04M013         ,310400010013,Junior High-Intermediate-Middle,309,NULL,NULL,NULL,NULL
228,M128,P.S. 128 Audubon,06M128         ,310600010128,Elementary,735,NULL,NULL,NULL,NULL
229,M226,P.S. M226,75M226         ,307500011226,K-12 all grades,272,NULL,NULL,NULL,NULL
230,M545,High School for Dual Language and Asian Studies,02M545         ,310200011545,High school,324,NULL,NULL,NULL,NULL
231,Q091,P.S. 091 Richard Arkwright,24Q091         ,342400010091,Elementary,881,NULL,NULL,NULL,NULL
232,Q107,P.S. 107 Thomas A Dooley,25Q107         ,342500010107,Elementary,932,NULL,NULL,NULL,NULL
233,Q205,P.S. 205 Alexander Graham Bell,26Q205         ,342600010205,Elementary,292,NULL,NULL,NULL,NULL
234,Q520,Middle College High School at LaGuardia Community College,24Q520         ,342400011520,High school,457,NULL,NULL,NULL,NULL
235,X106,P.S. 106 Parkchester,11X106         ,321100010106,Elementary,1231,NULL,NULL,NULL,NULL
236,K288,P.S. 288 The Shirley Tanyhill,21K288         ,332100010288,K-8,549,NULL,NULL,NULL,NULL
237,M084,P.S. 084 Lillian Weber,03M084         ,310300010084,Elementary,488,NULL,NULL,NULL,NULL
238,Q119,I.S. 119 The Glendale,24Q119         ,342400010119,Junior High-Intermediate-Middle,1100,NULL,NULL,NULL,NULL
239,Q135,The Bellaire School,29Q135         ,342900010135,Elementary,1163,NULL,NULL,NULL,NULL
240,Q233,P.S. Q233,75Q233         ,307500014233,K-12 all grades,386,NULL,NULL,NULL,NULL
241,R605,Staten Island Technical High School,31R605         ,353100011605,High school,1015,NULL,NULL,NULL,NULL
242,X232,I.S. 232,09X232         ,320900010232,Junior High-Intermediate-Middle,428,NULL,NULL,NULL,NULL
243,X551,The Urban Assembly Bronx Academy of Letters,07X551         ,320700011551,Secondary School,581,NULL,NULL,NULL,NULL
244,K190,P.S. 190 Sheffield,19K190         ,331900010190,Elementary,286,NULL,NULL,NULL,NULL
245,K721,P.S. K721 - Brooklyn Occupational Training Center,75K721         ,307500013721,High school,488,NULL,NULL,NULL,NULL
246,M258,Community Action School - MS 258,03M258         ,310300010258,Junior High-Intermediate-Middle,254,NULL,NULL,NULL,NULL
247,Q139,P.S. 139 Rego Park,28Q139         ,342800010139,Elementary,880,NULL,NULL,NULL,NULL
248,Q237,I.S. 237,25Q237         ,342500010237,Junior High-Intermediate-Middle,1160,NULL,NULL,NULL,NULL
249,X138,P.S. 138 Samuel Randall,08X138         ,320800010138,Elementary,974,NULL,NULL,NULL,NULL
250,X236,P.S. 236 Langston Hughes,09X236         ,320900010236,Elementary,382,NULL,NULL,NULL,NULL
251,K162,J.H.S. 162 The Willoughby,32K162         ,333200010162,Junior High-Intermediate-Middle,628,NULL,NULL,NULL,NULL
252,K316,P.S. 316 Elijah Stroud,17K316         ,331700010316,Elementary,258,NULL,NULL,NULL,NULL
253,K332,P.S. 332 Charles H. Houston,23K332         ,332300010332,K-8,500,NULL,NULL,NULL,NULL
254,K464,Park Slope Collegiate,15K464         ,331500011464,Secondary School,479,NULL,NULL,NULL,NULL
255,M414,N.Y.C. Museum School,02M414         ,310200010414,High school,467,NULL,NULL,NULL,NULL
